image,n_seeds,psnr_mean_db,psnr_sd_db,ssim_mean
1003_UHD_LL.JPG,5,20.134483,0.005302,0.863511
1009_UHD_LL.JPG,5,25.837430,0.025685,0.917091
1024_UHD_LL.JPG,5,27.704215,0.039358,0.912750
1043_UHD_LL.JPG,5,23.177033,0.016330,0.897055
1085_UHD_LL.JPG,5,27.401576,0.004824,0.869345
1102_UHD_LL.JPG,5,32.953220,0.015438,0.940986
1124_UHD_LL.JPG,5,34.473520,0.018137,0.934855
1142_UHD_LL.JPG,5,34.223261,0.020645,0.941551
1165_UHD_LL.JPG,5,29.529259,0.032429,0.918196
1184_UHD_LL.JPG,5,29.245595,0.036179,0.888463
1188_UHD_LL.JPG,5,28.794120,0.057956,0.973125
1191_UHD_LL.JPG,5,19.896402,0.023689,0.859990
1223_UHD_LL.JPG,5,21.424275,0.041481,0.781300
1246_UHD_LL.JPG,5,27.756533,0.023133,0.830077
1256_UHD_LL.JPG,5,37.242078,0.014766,0.961894
1277_UHD_LL.JPG,5,27.009112,0.147120,0.958268
1294_UHD_LL.JPG,5,33.772852,0.049008,0.954313
1312_UHD_LL.JPG,5,25.118075,0.023996,0.961532
1315_UHD_LL.JPG,5,32.748257,0.049367,0.945508
1335_UHD_LL.JPG,5,23.710843,0.012238,0.953732
1338_UHD_LL.JPG,5,31.849134,0.021394,0.931239
1354_UHD_LL.JPG,5,24.641738,0.014143,0.942420
1357_UHD_LL.JPG,5,34.878051,0.010503,0.954057
1365_UHD_LL.JPG,5,20.902369,0.011427,0.851749
1378_UHD_LL.JPG,5,34.473037,0.011048,0.946139
1388_UHD_LL.JPG,5,30.336230,0.036228,0.913018
1400_UHD_LL.JPG,5,32.618684,0.026107,0.930390
1417_UHD_LL.JPG,5,27.443012,0.018974,0.895732
142_UHD_LL.JPG,5,37.392547,0.016882,0.954749
1446_UHD_LL.JPG,5,19.686335,0.017241,0.809119
1453_UHD_LL.JPG,5,30.022032,0.065135,0.945386
1464_UHD_LL.JPG,5,29.180658,0.001939,0.868699
